taxa	family
NC_047780.1	Autographiviridae
NC_047782.1	Autographiviridae
NC_047781.1	Autographiviridae
NC_048130.1	Autographiviridae
NC_048129.1	Autographiviridae
NC_048014.1	Autographiviridae
NC_047980.1	Autographiviridae
NC_047908.1	Autographiviridae
NC_048114.1	Autographiviridae
NC_047970.1	Autographiviridae
MH172263.1	Autographiviridae
NC_028688.1	Autographiviridae
NC_048138.1	Autographiviridae
NC_048131.1	Autographiviridae
NC_047761.1	Autographiviridae
NC_047799.1	Autographiviridae
NC_047798.1	Autographiviridae
NC_047772.1	Autographiviridae
NC_028800.1	Autographiviridae
NC_013647.1	Autographiviridae
NC_048175.1	Autographiviridae
NC_047842.1	Autographiviridae
NC_047773.1	Autographiviridae
NC_028977.1	Autographiviridae
NC_047971.1	Autographiviridae
MH172264.1	Autographiviridae
NC_047969.1	Autographiviridae
MH172262.1	Autographiviridae
NC_047771.1	Autographiviridae
NC_047968.1	Autographiviridae
MH172261.1	Autographiviridae
NC_047787.1	Autographiviridae
NC_047811.1	Autographiviridae
NC_023567.2	Autographiviridae
NC_047849.1	Autographiviridae
NC_047944.1	Autographiviridae
NC_047783.1	Autographiviridae
NC_028664.1	Autographiviridae
NC_047748.1	Autographiviridae
NC_013649.2	Autographiviridae
NC_028816.1	Autographiviridae
NC_028670.1	Autographiviridae
NC_025418.1	Autographiviridae
NC_031246.1	Autographiviridae
NC_031025.1	Autographiviridae
NC_047779.1	Autographiviridae
NC_028870.1	Autographiviridae
NC_047857.1	Autographiviridae
NC_042093.1	Demerecviridae
NC_041899.1	Demerecviridae
NC_047900.1	Ackermannviridae
NC_047932.1	Ackermannviridae
NC_049472.1	Ackermannviridae
NC_022343.1	Ackermannviridae
NC_049462.1	Ackermannviridae
NC_047901.1	Ackermannviridae
NC_014036.1	Straboviridae
NC_028750.1	Straboviridae
NC_020080.1	Straboviridae
NC_055768.1	Straboviridae
NC_055715.1	Straboviridae
NC_031087.1	Straboviridae
NC_055748.1	Straboviridae
NC_028686.1	Straboviridae
NC_048700.1	Schitoviridae
NC_049467.1	Schitoviridae
NC_049444.1	Schitoviridae
NC_049450.1	Peduoviridae
CP052639.1	Peduoviridae
NC_047817.1	Peduoviridae
NC_049451.1	Peduoviridae
NC_049453.1	Peduoviridae
NC_049454.1	Peduoviridae
NC_049448.1	Peduoviridae
NC_049449.1	Peduoviridae
NC_049452.1	Peduoviridae
NC_047818.1	Peduoviridae
NC_048805.1	Casjensviridae
NC_048732.1	Casjensviridae
NC_048670.1	Casjensviridae
NC_049833.1	Drexlerviridae
NC_031053.1	Drexlerviridae
NC_047784.1	Drexlerviridae
NC_049836.1	Drexlerviridae
NC_049834.1	Drexlerviridae
NC_049837.1	Drexlerviridae
NC_049835.1	Drexlerviridae
NC_028760.1	Drexlerviridae
NC_049847.1	Drexlerviridae
NC_049845.1	Drexlerviridae
NC_048126.1	Drexlerviridae
NC_029099.1	Drexlerviridae
NC_048162.1	Drexlerviridae
NC_049844.1	Drexlerviridae
NC_049846.1	Drexlerviridae
NC_028786.1	Drexlerviridae
NC_049848.1	Drexlerviridae
NC_049843.1	Drexlerviridae
NC_049841.1	Drexlerviridae
NC_049838.1	Drexlerviridae
NC_048024.1	Drexlerviridae
NC_049840.1	Drexlerviridae
NC_048042.1	Drexlerviridae
NC_049839.1	Drexlerviridae
