taxa	genus
KP209285.1	Phietavirus
NC_002321.1	Peeveelvirus
NC_002486.1	Peeveelvirus
NC_002661.2	Triavirus
NC_003288.1	Phietavirus
NC_004615.1	Dubowvirus
NC_004616.1	Triavirus
NC_004617.1	Peeveelvirus
NC_004678.1	Rosenblumvirus
NC_005356.1	Biseptimavirus
NC_005880.2	Kayvirus
NC_007021.1	Twortvirus
NC_007046.1	Rosenblumvirus
NC_007048.1	Dubowvirus
NC_007049.1	Dubowvirus
NC_007050.1	Dubowvirus
NC_007051.1	Fibralongavirus
NC_007052.1	Triavirus
NC_007053.1	Triavirus
NC_007054.1	Triavirus
NC_007055.1	Phietavirus
NC_007056.1	Phietavirus
NC_007057.1	Phietavirus
NC_007058.1	Phietavirus
NC_007059.1	Phietavirus
NC_007060.1	Phietavirus
NC_007061.1	Phietavirus
NC_007062.1	Phietavirus
NC_007063.1	Phietavirus
NC_007064.1	Phietavirus
NC_007065.1	Phietavirus
NC_007066.1	Kayvirus
NC_008583.1	Dubowvirus
NC_008617.1	Biseptimavirus
NC_008689.1	Peeveelvirus
NC_008798.1	Dubowvirus
NC_008799.1	Phietavirus
NC_009526.1	Dubowvirus
NC_009761.3	Peeveelvirus
NC_009762.3	Triavirus
NC_009875.1	Rosenblumvirus
NC_010147.1	Phietavirus
NC_010808.1	Dubowvirus
NC_011344.1	Triavirus
NC_011612.1	Triavirus
NC_011614.1	Dubowvirus
NC_012784.1	Peeveelvirus
NC_013195.1	Biseptimavirus
NC_014460.1	Dubowvirus
NC_016565.1	Rosenblumvirus
NC_019448.1	Kayvirus
NC_019511.1	Silviavirus
NC_019726.1	Kayvirus
NC_020877.1	Silviavirus
NC_021323.1	Triavirus
NC_021326.1	Phietavirus
NC_021332.1	Phietavirus
NC_021773.2	Peeveelvirus
NC_021863.1	Phietavirus
NC_022090.1	Silviavirus
NC_022758.1	Triavirus
NC_022918.1	Kayvirus
NC_022920.1	Kayvirus
NC_023009.1	Kayvirus
NC_023499.1	Biseptimavirus
NC_023500.1	Phietavirus
NC_023550.1	Rosenblumvirus
NC_023573.1	Kayvirus
NC_025416.1	Kayvirus
NC_025426.1	Kayvirus
NC_026016.1	Biseptimavirus
NC_028669.1	Phietavirus
NC_028765.1	Kayvirus
NC_028775.1	Biseptimavirus
NC_028859.1	Phietavirus
NC_028862.1	Triavirus
NC_028913.1	Dubowvirus
NC_028915.1	Phietavirus
NC_028917.1	Phietavirus
NC_029010.1	Dubowvirus
NC_030652.1	Phietavirus
NC_030933.1	Silviavirus
NC_031008.1	Rosenblumvirus
NC_031046.1	Rosenblumvirus
NC_047720.1	Kayvirus
NC_047721.1	Kayvirus
NC_047722.1	Kayvirus
NC_047723.1	Kayvirus
NC_047724.1	Kayvirus
NC_047725.1	Kayvirus
NC_047726.1	Kayvirus
NC_047727.1	Kayvirus
NC_047728.1	Kayvirus
NC_047729.1	Kayvirus
NC_047730.1	Kayvirus
NC_047731.1	Kayvirus
NC_047732.1	Kayvirus
NC_047788.1	Rosenblumvirus
NC_047855.1	Rosenblumvirus
NC_047919.1	Rosenblumvirus
NC_047945.1	Baoshanvirus
NC_047948.1	Baoshanvirus
NC_048107.1	Rosenblumvirus
NC_048159.1	Rosenblumvirus
NC_048624.1	Biseptimavirus
NC_048634.1	Biseptimavirus
NC_048635.1	Biseptimavirus
NC_048636.1	Biseptimavirus
NC_048644.1	Peeveelvirus
NC_048657.1	Biseptimavirus
NC_048658.1	Peeveelvirus
NC_048681.1	Biseptimavirus
NC_048710.1	Biseptimavirus
NC_048711.1	Peeveelvirus
NC_048713.1	Biseptimavirus
NC_054973.1	Dubowvirus
NC_054974.1	Dubowvirus
NC_054975.1	Dubowvirus
NC_054976.1	Dubowvirus
NC_054977.1	Dubowvirus
NC_054978.1	Dubowvirus
NC_054979.1	Phietavirus
NC_054980.1	Phietavirus
NC_054981.1	Phietavirus
NC_054982.1	Phietavirus
NC_054983.1	Phietavirus
