taxa	family
NC_047945.1	Herelleviridae
NC_047948.1	Herelleviridae
NC_047721.1	Herelleviridae
NC_047720.1	Herelleviridae
NC_007066.1	Herelleviridae
NC_047731.1	Herelleviridae
NC_047729.1	Herelleviridae
NC_047730.1	Herelleviridae
NC_047723.1	Herelleviridae
NC_047732.1	Herelleviridae
NC_047728.1	Herelleviridae
NC_047722.1	Herelleviridae
NC_047727.1	Herelleviridae
NC_047726.1	Herelleviridae
NC_047725.1	Herelleviridae
NC_047724.1	Herelleviridae
NC_019448.1	Herelleviridae
NC_019726.1	Herelleviridae
NC_005880.2	Herelleviridae
NC_025416.1	Herelleviridae
NC_025426.1	Herelleviridae
NC_028765.1	Herelleviridae
NC_022920.1	Herelleviridae
NC_022918.1	Herelleviridae
NC_023573.1	Herelleviridae
NC_023009.1	Herelleviridae
NC_022090.1	Herelleviridae
NC_020877.1	Herelleviridae
NC_019511.1	Herelleviridae
NC_030933.1	Herelleviridae
NC_007021.1	Herelleviridae
NC_047919.1	Rountreeviridae
NC_031046.1	Rountreeviridae
NC_048159.1	Rountreeviridae
NC_055906.1	Rountreeviridae
NC_023550.1	Rountreeviridae
NC_055916.1	Rountreeviridae
NC_048107.1	Rountreeviridae
NC_055814.1	Rountreeviridae
NC_047855.1	Rountreeviridae
NC_004678.1	Rountreeviridae
NC_007046.1	Rountreeviridae
NC_016565.1	Rountreeviridae
NC_009875.1	Rountreeviridae
NC_055802.1	Rountreeviridae
NC_009875.1	Rountreeviridae
NC_047788.1	Rountreeviridae
NC_031008.1	Rountreeviridae
