taxa	subfamily
NC_004615.1	Azeredovirinae
NC_007049.1	Azeredovirinae
NC_007048.1	Azeredovirinae
NC_009526.1	Azeredovirinae
NC_007050.1	Azeredovirinae
NC_054973.1	Azeredovirinae
NC_054974.1	Azeredovirinae
NC_011614.1	Azeredovirinae
NC_008798.1	Azeredovirinae
NC_010808.1	Azeredovirinae
NC_054975.1	Azeredovirinae
NC_029010.1	Azeredovirinae
NC_014460.1	Azeredovirinae
NC_054976.1	Azeredovirinae
NC_054977.1	Azeredovirinae
NC_054978.1	Azeredovirinae
NC_008583.1	Azeredovirinae
NC_028913.1	Azeredovirinae
NC_007061.1	Azeredovirinae
NC_007055.1	Azeredovirinae
NC_028917.1	Azeredovirinae
NC_007062.1	Azeredovirinae
NC_007060.1	Azeredovirinae
NC_007059.1	Azeredovirinae
NC_007063.1	Azeredovirinae
NC_007064.1	Azeredovirinae
NC_007057.1	Azeredovirinae
NC_054979.1	Azeredovirinae
NC_028859.1	Azeredovirinae
NC_028915.1	Azeredovirinae
NC_007056.1	Azeredovirinae
NC_054980.1	Azeredovirinae
NC_003288.1	Azeredovirinae
NC_008799.1	Azeredovirinae
NC_028669.1	Azeredovirinae
NC_010147.1	Azeredovirinae
KP209285.1	Azeredovirinae
NC_007058.1	Azeredovirinae
NC_021863.1	Azeredovirinae
NC_054981.1	Azeredovirinae
NC_054982.1	Azeredovirinae
NC_021326.1	Azeredovirinae
NC_021332.1	Azeredovirinae
NC_023500.1	Azeredovirinae
NC_007065.1	Azeredovirinae
NC_030652.1	Azeredovirinae
NC_054983.1	Azeredovirinae
NC_028775.1	Bronfenbrennervirinae
NC_005356.1	Bronfenbrennervirinae
NC_026016.1	Bronfenbrennervirinae
NC_048657.1	Bronfenbrennervirinae
NC_048636.1	Bronfenbrennervirinae
NC_048634.1	Bronfenbrennervirinae
NC_048635.1	Bronfenbrennervirinae
NC_013195.1	Bronfenbrennervirinae
NC_048710.1	Bronfenbrennervirinae
NC_048713.1	Bronfenbrennervirinae
NC_048681.1	Bronfenbrennervirinae
NC_023499.1	Bronfenbrennervirinae
NC_008617.1	Bronfenbrennervirinae
NC_048624.1	Bronfenbrennervirinae
NC_008689.1	Bronfenbrennervirinae
NC_004617.1	Bronfenbrennervirinae
NC_048644.1	Bronfenbrennervirinae
NC_012784.1	Bronfenbrennervirinae
NC_021773.2	Bronfenbrennervirinae
NC_002486.1	Bronfenbrennervirinae
NC_002321.1	Bronfenbrennervirinae
NC_048658.1	Bronfenbrennervirinae
NC_048711.1	Bronfenbrennervirinae
NC_009761.3	Bronfenbrennervirinae
NC_047919.1	Rakietenvirinae
NC_031046.1	Rakietenvirinae
NC_048159.1	Rakietenvirinae
NC_055906.1	Rakietenvirinae
NC_023550.1	Rakietenvirinae
NC_055916.1	Rakietenvirinae
NC_048107.1	Rakietenvirinae
NC_055814.1	Rakietenvirinae
NC_047855.1	Rakietenvirinae
NC_004678.1	Rakietenvirinae
NC_007046.1	Rakietenvirinae
NC_016565.1	Rakietenvirinae
NC_009875.1	Rakietenvirinae
NC_055802.1	Rakietenvirinae
NC_009875.1	Rakietenvirinae
NC_047788.1	Rakietenvirinae
NC_031008.1	Rakietenvirinae
NC_047945.1	Twortvirinae
NC_047948.1	Twortvirinae
NC_047721.1	Twortvirinae
NC_047720.1	Twortvirinae
NC_007066.1	Twortvirinae
NC_047731.1	Twortvirinae
NC_047729.1	Twortvirinae
NC_047730.1	Twortvirinae
NC_047723.1	Twortvirinae
NC_047732.1	Twortvirinae
NC_047728.1	Twortvirinae
NC_047722.1	Twortvirinae
NC_047727.1	Twortvirinae
NC_047726.1	Twortvirinae
NC_047725.1	Twortvirinae
NC_047724.1	Twortvirinae
NC_019448.1	Twortvirinae
NC_019726.1	Twortvirinae
NC_005880.2	Twortvirinae
NC_025416.1	Twortvirinae
NC_025426.1	Twortvirinae
NC_028765.1	Twortvirinae
NC_022920.1	Twortvirinae
NC_022918.1	Twortvirinae
NC_023573.1	Twortvirinae
NC_023009.1	Twortvirinae
NC_022090.1	Twortvirinae
NC_020877.1	Twortvirinae
NC_019511.1	Twortvirinae
NC_030933.1	Twortvirinae
NC_007021.1	Twortvirinae
