CP038007,CP038007.1
CP052639,CP052639.1
CP058330,CP058330.1
CP062992,CP062992.1
KJ021043,KJ021043.1
KT001919,KT001919.1
KT367887,KT367887.1
KY271395,KY271395.1
KY271396,KY271396.1
KY271399,KY271399.1
KY271400,KY271400.1
KY271401,KY271401.1
KY271402,KY271402.1
KY575286,KY575286.1
MF415411,MF415411.1
MF415413,MF415413.1
MF476924,MF476924.1
MF476925,MF476925.1
MF695815,MF695815.1
MG197810,MG197810.1
MG751100,MG751100.1
MG835858,MG835858.1
MH172261,MH172261.1
MH172262,MH172262.1
MH172263,MH172263.1
MH172264,MH172264.1
MH633485,MH633485.1
MH633486,MH633486.1
MH633487,MH633487.1
MK135468,MK135468.1
MK327140,MK327140.1
MK380014,MK380014.1
MK380015,MK380015.1
MK380016,MK380016.1
MK388859,MK388859.1
MK416007,MK416007.1
MK416008,MK416008.1
MK416009,MK416009.1
MK416010,MK416010.1
MK416013,MK416013.1
MK416014,MK416014.1
MK416016,MK416016.1
MK416017,MK416017.1
MK416019,MK416019.1
MK416020,MK416020.1
MK416021,MK416021.1
MK416022,MK416022.1
MK422448,MK422448.1
MK422450,MK422450.1
MK422451,MK422451.1
MK422452,MK422452.1
MK422454,MK422454.1
MK422455,MK422455.1
MK433577,MK433577.1
MK433579,MK433579.1
MK433580,MK433580.1
MK433581,MK433581.1
MK433582,MK433582.1
MK433583,MK433583.1
MK448228,MK448228.1
MK448230,MK448230.1
MK448231,MK448231.1
MK448232,MK448232.1
MK448233,MK448233.1
MK448234,MK448234.1
MK448235,MK448235.1
MK448237,MK448237.1
MK521905,MK521905.1
MK521906,MK521906.1
MK521907,MK521907.1
MK608335,MK608335.1
MK618657,MK618657.1
MK630230,MK630230.1
MK693005,MK693005.1
MK714353,MK714353.1
MK795385,MK795385.1
MN013074,MN013074.1
MN013078,MN013078.1
MN013081,MN013081.1
MN013082,MN013082.1
MN013085,MN013085.1
MN013086,MN013086.1
MN013087,MN013087.1
MN098327,MN098327.1
MN106245,MN106245.1
MN116494,MN116494.1
MN149903,MN149903.1
MN149904,MN149904.1
MN166823,MN166823.1
MN176572,MN176572.1
MN176573,MN176573.1
MN176574,MN176574.1
MN380459,MN380459.1
MN395284,MN395284.1
MN395285,MN395285.1
MN434092,MN434092.1
MN434093,MN434093.1
MN434094,MN434094.1
MN434095,MN434095.1
MN434096,MN434096.1
MN585130,MN585130.1
MN689778,MN689778.1
MN781108,MN781108.1
MN794000,MN794000.1
MN794001,MN794001.1
MN794002,MN794002.1
MN794003,MN794003.1
MN871444,MN871444.1
MN871445,MN871445.1
MN871446,MN871446.1
MN871447,MN871447.1
MN871448,MN871448.1
MN871449,MN871449.1
MN871450,MN871450.1
MN871451,MN871451.1
MN871452,MN871452.1
MN871453,MN871453.1
MT075871,MT075871.1
MT090077,MT090077.2
MT157285,MT157285.1
MT197175,MT197175.1
MT197176,MT197176.1
MT251348,MT251348.1
MT360680,MT360680.1
MT380195,MT380195.1
MT425185,MT425185.1
MT438396,MT438396.1
MT542697,MT542697.1
MT559526,MT559526.1
MT559527,MT559527.1
MT559528,MT559528.1
MT580897,MT580897.1
MT682064,MT682064.1
MT682065,MT682065.1
MT701589,MT701589.1
MT701590,MT701590.1
MT708547,MT708547.1
MT757392,MT757392.1
MT813140,MT813140.1
MT813141,MT813141.1
MT813142,MT813142.1
MT894004,MT894004.1
MT894005,MT894005.1
MT939252,MT939252.1
MT939253,MT939253.1
MT966872,MT966872.1
MT966873,MT966873.1
MW021752,MW021752.1
MW042787,MW042787.1
MW042788,MW042788.1
MW042789,MW042789.1
MW042790,MW042790.1
MW042791,MW042791.1
MW042792,MW042792.1
MW042793,MW042793.1
MW042794,MW042794.1
MW042795,MW042795.1
MW042796,MW042796.1
MW042797,MW042797.1
