AB626963,AB626963.1
AP019522,AP019522.1
CP062422,CP062422.1
CP062426,CP062426.1
CP062427,CP062427.1
CP062430,CP062430.1
CP062434,CP062434.1
CP062435,CP062435.1
CP062442,CP062442.1
CP062444,CP062444.1
CP062445,CP062445.1
CP062447,CP062447.1
CP062450,CP062450.1
CP062451,CP062451.1
CP062454,CP062454.1
CP062457,CP062457.1
CP062461,CP062461.1
CP062462,CP062462.1
CP071049,CP071049.1
JX274647,JX274647.1
KP209285,KP209285.1
KX156762,KX156762.1
KX532239,KX532239.1
KY000085,KY000085.1
KY581279,KY581279.1
KY653125,KY653125.1
KY653128,KY653128.1
KY779848,KY779848.1
KY779849,KY779849.1
KY794641,KY794641.1
KY794642,KY794642.1
KY794643,KY794643.1
LC574321,LC574321.1
LC680885,LC680885.1
MF398190,MF398190.1
MG029512,MG029512.1
MG029513,MG029513.1
MG029515,MG029515.1
MG029516,MG029516.1
MG029517,MG029517.1
MG557618,MG557618.1
MG766219,MG766219.2
MH107769,MH107769.1
MH136584,MH136584.1
MH159197,MH159197.1
MH321492,MH321492.1
MH356730,MH356730.1
MH401414,MH401414.1
MH401415,MH401415.1
MK250904,MK250904.1
MK331930,MK331930.1
MK417514,MK417514.1
MK417515_1,MK417515.1
MK417516,MK417516.1
MK584893,MK584893.1
MK656892,MK656892.1
MK764384,MK764384.1
MK801680,MK801680.1
MK801683,MK801683.1
MK903033,MK903033.1
MK922546,MK922546.1
MK922547,MK922547.1
MK922548,MK922548.1
MK936475,MK936475.1
MK940809,MK940809.1
MN045228,MN045228.1
MN091625,MN091625.1
MN091626,MN091626.1
MN150710,MN150710.1
MN304941,MN304941.1
MN336261,MN336261.1
MN336262,MN336262.1
MN336263,MN336263.1
MN539736,MN539736.1
MN539737,MN539737.1
MN539738,MN539738.1
MT226657,MT226657.1
MT338525,MT338525.1
MT366568,MT366568.1
MT554104,MT554104.1
MT786458,MT786458.1
MT787017,MT787017.1
MT899504,MT899504.1
MW147366,MW147366.1
MW192778,MW192778.1
MW238767,MW238767.1
MW248466,MW248466.1
MW286254,MW286254.1
MW349128,MW349128.1
MW349129,MW349129.1
MW363798,MW363798.1
MW460250,MW460250.1
MW528836,MW528836.1
MW627293,MW627293.1
MW650841,MW650841.1
MW924497,MW924497.1
MW924889,MW924889.1
MZ359091,MZ359091.1
MZ417326,MZ417326.1
MZ643272,MZ643272.1
MZ779063,MZ779063.1
NC_002321,NC_002321.1
NC_002486,NC_002486.1
NC_002661,NC_002661.2
NC_003288,NC_003288.1
NC_004615,NC_004615.1
NC_004616,NC_004616.1
NC_004617,NC_004617.1
NC_004678,NC_004678.1
NC_004679,NC_004679.1
NC_004740,NC_004740.1
NC_005356,NC_005356.1
NC_005880,NC_005880.2
NC_007021,NC_007021.1
NC_007045,NC_007045.1
NC_007046,NC_007046.1
NC_007048,NC_007048.1
NC_007049,NC_007049.1
NC_007050,NC_007050.1
NC_007051,NC_007051.1
NC_007052,NC_007052.1
NC_007053,NC_007053.1
NC_007054,NC_007054.1
NC_007055,NC_007055.1
NC_007056,NC_007056.1
NC_007057,NC_007057.1
NC_007058,NC_007058.1
NC_007059,NC_007059.1
NC_007060,NC_007060.1
NC_007061,NC_007061.1
NC_007062,NC_007062.1
NC_007063,NC_007063.1
NC_007064,NC_007064.1
NC_007065,NC_007065.1
NC_007066,NC_007066.1
NC_008583_1,NC_008583.1
NC_008617_1,NC_008617.1
NC_008689,NC_008689.1
NC_008798,NC_008798.1
NC_008799,NC_008799.1
NC_009526,NC_009526.1
NC_009761_3,NC_009761.3
NC_009762_3,NC_009762.3
NC_009875_1,NC_009875.1
NC_010147,NC_010147.1
NC_010808,NC_010808.1
NC_011344,NC_011344.1
NC_011612,NC_011612.1
NC_011614,NC_011614.1
NC_012784,NC_012784.1
NC_013195,NC_013195.1
NC_014460,NC_014460.1
NC_016565,NC_016565.1
NC_017968,NC_017968.1
NC_019448,NC_019448.1
NC_019511,NC_019511.1
NC_019513,NC_019513.1
NC_019726,NC_019726.1
NC_020877,NC_020877.1
NC_021323,NC_021323.1
NC_021326,NC_021326.1
NC_021332,NC_021332.1
NC_021773,NC_021773.2
NC_021801,NC_021801.1
NC_021863,NC_021863.1
NC_022090,NC_022090.1
NC_022758_1,NC_022758.1
NC_022918_1,NC_022918.1
NC_022920_1,NC_022920.1
NC_023009,NC_023009.1
NC_023499,NC_023499.1
NC_023500,NC_023500.1
NC_023550,NC_023550.1
NC_023573,NC_023573.1
NC_024391,NC_024391.1
NC_025416,NC_025416.1
NC_025426,NC_025426.1
NC_025460,NC_025460.1
NC_026016,NC_026016.1
NC_027991,NC_027991.1
NC_028669,NC_028669.1
NC_028765_1,NC_028765.1
NC_028775,NC_028775.1
NC_028859,NC_028859.1
NC_028862,NC_028862.1
NC_028913_1,NC_028913.1
NC_028915,NC_028915.1
NC_028917,NC_028917.1
NC_029010,NC_029010.1
NC_030652_1,NC_030652.1
NC_030933,NC_030933.1
NC_031008,NC_031008.1
NC_031046,NC_031046.1
NC_047720,NC_047720.1
NC_047721,NC_047721.1
NC_047722,NC_047722.1
NC_047723,NC_047723.1
NC_047724,NC_047724.1
NC_047725,NC_047725.1
NC_047726,NC_047726.1
NC_047727,NC_047727.1
NC_047728,NC_047728.1
NC_047729,NC_047729.1
NC_047730,NC_047730.1
NC_047731,NC_047731.1
NC_047732,NC_047732.1
NC_047788,NC_047788.1
NC_047855,NC_047855.1
NC_047919,NC_047919.1
NC_047945_1,NC_047945.1
NC_047948,NC_047948.1
NC_048107,NC_048107.1
NC_048159,NC_048159.1
NC_048624_1,NC_048624.1
NC_048634,NC_048634.1
NC_048635,NC_048635.1
NC_048636,NC_048636.1
NC_048644,NC_048644.1
NC_048657,NC_048657.1
NC_048658,NC_048658.1
NC_048681,NC_048681.1
NC_048710,NC_048710.1
NC_048711,NC_048711.1
NC_048713,NC_048713.1
NC_054973,NC_054973.1
NC_054974,NC_054974.1
NC_054975,NC_054975.1
NC_054976,NC_054976.1
NC_054977,NC_054977.1
NC_054978,NC_054978.1
NC_054979,NC_054979.1
NC_054980,NC_054980.1
NC_054981,NC_054981.1
NC_054982,NC_054982.1
NC_054983_1,NC_054983.1
NC_055038,NC_055038.1
NC_055039,NC_055039.1
NC_055040,NC_055040.1
NC_055041,NC_055041.1
NC_055042,NC_055042.1
NC_055043,NC_055043.1
NC_055044,NC_055044.1
NC_055045,NC_055045.1
NC_055046,NC_055046.1
NC_055047,NC_055047.1
NC_055048,NC_055048.1
NC_055049,NC_055049.1
NC_055802,NC_055802.1
NC_055814,NC_055814.1
NC_055906,NC_055906.1
NC_055916,NC_055916.1
OL690335,OL690335.1
OL741057,OL741057.1
OL840290,OL840290.1
OM304856,OM304856.1
OM439662,OM439662.1
OM439663,OM439663.1
OM439664,OM439664.1
OM439665,OM439665.1
OM439666,OM439666.1
OM439667,OM439667.1
OM439668,OM439668.1
OM439669,OM439669.1
OM439670,OM439670.1
OM439671,OM439671.1
OM439672,OM439672.1
OM439673,OM439673.1
OM439674,OM439674.1
OM439675,OM439675.1
